rank,title,world_gross,dom_gross,dom_perc,for_gr,for_perc,year
1049,Superbad,170812526,121463226,71.1,49349300,28.9,2007
1050,The Other Guys,170458922,119219978,69.9,51238944,30.1,2010
1051,The Specialist,170362582,57362582,33.7,113000000,66.3,1994
1052,Olympus Has Fallen,170270201,98925640,58.1,71344561,41.9,2013
1053,Starsky & Hutch,170268750,88237754,51.8,82030996,48.2,2004
1054,Shall We Dance,170128460,57890460,34.0,112238000,66.0,2004
1055,Princess Mononoke,170005875,4845631,2.8,165160244,97.2,1999
1056,Stuart Little 2,169956806,64956806,38.2,105000000,61.8,2002
1057,Zookeeper,169852759,80360843,47.3,89491916,52.7,2011
1058,Ghost in the Shell,169846945,40563557,23.9,129283388,76.1,2017
1059,Dumb and Dumber To,169837010,86208010,50.8,83629000,49.2,2014
1060,Seven Pounds,169748929,69951824,41.2,99797105,58.8,2008
1061,The Emperor's New Groove,169662207,89636687,52.8,80025520,47.2,2000
1062,Wonder Woman 1984,169601036,46801036,27.6,122800000,72.4,2020
1063,Meet the Robinsons,169333034,97822171,57.8,71510863,42.2,2007
1064,12 Monkeys,168839459,57141459,33.8,111698000,66.2,1995
1065,The Suicide Squad,168717425,55817425,33.1,112900000,66.9,2021
1066,Dodgeball: A True Underdog Story,168423227,114326736,67.9,54096491,32.1,2004
1067,Hellboy II: The Golden Army,168319243,75986503,45.1,92332740,54.9,2008
1068,Ticket to Paradise,168094863,68275985,40.6,99818878,59.4,2022
1069,Insidious: The Last Key,167885588,67745330,40.4,100140258,59.6,2018
1070,Fantastic Four,167882881,56117548,33.4,111765333,66.6,2015
1071,Unstoppable,167805466,81562942,48.6,86242524,51.4,2010
1072,Three Men and a Baby,167780960,167780960,100.0,0,0.0,1987
1073,Morbius,167460961,73865530,44.1,93595431,55.9,2022
1074,Alexander,167298192,34297191,20.5,133001001,79.5,2004
1075,Magic Mike,167282206,113781613,68.0,53500593,32.0,2012
1076,Up in the Air,166842739,83823381,50.2,83019358,49.8,2009
1077,Jujutsu Kaisen 0: The Movie,166745261,34542754,20.7,132202507,79.3,2021
1078,Nutty Professor II: The Klumps,166339890,123309890,74.1,43030000,25.9,2000
1079,Sleepers,165615285,53315285,32.2,112300000,67.8,1996
1080,Bridge of Spies,165478348,72313754,43.7,93164594,56.3,2015
1081,The Princess Diaries,165335153,108248956,65.5,57086197,34.5,2001
1082,The Muppets,165184237,88631237,53.7,76553000,46.3,2011
1083,The Huntsman: Winter's War,164989338,48390190,29.3,116599148,70.7,2016
1084,Saw III,164874275,80238724,48.7,84635551,51.3,2006
1085,Six Days Seven Nights,164839294,74339294,45.1,90500000,54.9,1998
1086,Bringing Down the House,164729679,132716677,80.6,32013002,19.4,2003
1087,Deep Blue Sea,164648142,73648142,44.7,91000000,55.3,1999
1088,Speed 2: Cruise Control,164508066,48608066,29.6,115900000,70.4,1997
1089,Daddy Day Care,164433867,104297061,63.4,60136806,36.6,2003
1090,The Spiderwick Chronicles,164170327,71195053,43.4,92975274,56.6,2008
1091,The Pink Panther,164115897,82226474,50.1,81889423,49.9,2006
1092,Four Christmases,164112721,120146040,73.2,43966681,26.8,2008
1093,The Ring Two,163995949,76231249,46.5,87764700,53.5,2005
1094,From Vegas to Macau II,163877532,0,0.0,163877532,100.0,2015
1095,Miami Vice,163794509,63450470,38.7,100344039,61.3,2006
1096,Burn After Reading,163728902,60355347,36.9,103373555,63.1,2008
1097,Space Jam: A New Legacy,163692228,70592228,43.1,93100000,56.9,2021
1098,Pokémon: The First Movie - Mewtwo Strikes Back,163644662,85744662,52.4,77900000,47.6,1999
1099,The Happening,163403799,64506874,39.5,98896925,60.5,2008
1100,Talladega Nights: The Ballad of Ricky Bobby,163362095,148213377,90.7,15148718,9.3,2006
1101,World Trade Center,163247198,70278893,43.0,92968305,57.0,2006
1102,The Island,162949164,35818913,22.0,127130251,78.0,2005
1103,The Interpreter,162944923,72708161,44.6,90236762,55.4,2005
1104,"Three Billboards Outside Ebbing, Missouri",162861289,54513740,33.5,108347549,66.5,2017
1105,Dick Tracy,162738726,103738726,63.8,59000000,36.2,1990
1106,27 Dresses,162655351,76808654,47.2,85846697,52.8,2008
1107,The Magnificent Seven,162360636,93432655,57.6,68927981,42.4,2016
1108,Eyes Wide Shut,162243224,55691208,34.3,106552016,65.7,1999
1109,Memoirs of a Geisha,162242962,57490508,35.4,104752454,64.6,2005
1110,Jack Reacher: Never Go Back,162146076,58697076,36.2,103449000,63.8,2016
1111,Insidious: Chapter 2,161919318,83586447,51.6,78332871,48.4,2013
1112,Limitless,161849455,79249455,49.0,82600000,51.0,2011
1113,Scream 3,161834276,89143175,55.1,72691101,44.9,2000
1114,Flight,161772375,93772375,58.0,68000000,42.0,2012
1115,Payback,161626121,81526121,50.4,80100000,49.6,1999
1116,Into the Storm,161515959,47615959,29.5,113900000,70.5,2014
1117,Unbroken,161459297,115637895,71.6,45821402,28.4,2014
1118,The Black Phone,161440742,90123230,55.8,71317512,44.2,2022
1119,Alien: Resurrection,161376069,47795658,29.6,113580411,70.4,1997
1120,The Hateful Eight,161217616,54117416,33.6,107100200,66.4,2015
1121,The Sacrifice,161047608,0,0.0,161047608,100.0,2020
1122,Born on the Fourth of July,161001698,70001698,43.5,91000000,56.5,1989
1123,Freaky Friday,160846332,110230332,68.5,50616000,31.5,2003
1124,Legends of the Fall,160638883,66638883,41.5,94000000,58.5,1994
1125,The Predator,160542134,51024708,31.8,109517426,68.2,2018
1126,Johnny English,160466000,28082366,17.5,132383634,82.5,2003
1127,The War of the Roses,160188546,86888546,54.2,73300000,45.8,1989
1128,Underworld: Awakening,160112671,62321039,38.9,97791632,61.1,2012
